HOURBEGINNING_TIME,RECO
22-JUN-2024 23:00:00,$29.65
22-JUN-2024 22:00:00,$33.72
22-JUN-2024 21:00:00,$35.91
22-JUN-2024 20:00:00,$33.61
22-JUN-2024 19:00:00,$34.14
22-JUN-2024 18:00:00,$39.32
22-JUN-2024 17:00:00,$33.10
22-JUN-2024 16:00:00,$33.08
22-JUN-2024 15:00:00,$39.47
22-JUN-2024 14:00:00,$33.70
22-JUN-2024 13:00:00,$105.45
22-JUN-2024 12:00:00,$60.32
22-JUN-2024 11:00:00,$61.80
22-JUN-2024 10:00:00,$37.24
22-JUN-2024 09:00:00,$31.51
22-JUN-2024 08:00:00,$26.10
22-JUN-2024 07:00:00,$16.63
22-JUN-2024 06:00:00,$15.70
22-JUN-2024 05:00:00,$15.95
22-JUN-2024 04:00:00,$17.15
22-JUN-2024 03:00:00,$19.33
22-JUN-2024 02:00:00,$22.59
22-JUN-2024 01:00:00,$26.36
22-JUN-2024 00:00:00,$27.75
21-JUN-2024 23:00:00,$30.42
21-JUN-2024 22:00:00,$35.95
21-JUN-2024 21:00:00,$55.54
21-JUN-2024 20:00:00,$73.95
21-JUN-2024 19:00:00,$64.07
21-JUN-2024 18:00:00,$45.36
21-JUN-2024 17:00:00,$66.69
21-JUN-2024 16:00:00,$117.13
21-JUN-2024 15:00:00,$78.76
21-JUN-2024 14:00:00,$129.10
21-JUN-2024 13:00:00,$33.97
21-JUN-2024 12:00:00,$35.06
21-JUN-2024 11:00:00,$53.67
21-JUN-2024 10:00:00,$33.58
21-JUN-2024 09:00:00,$32.60
21-JUN-2024 08:00:00,$26.09
21-JUN-2024 07:00:00,$24.11
21-JUN-2024 06:00:00,$20.32
21-JUN-2024 05:00:00,$22.13
21-JUN-2024 04:00:00,$20.40
21-JUN-2024 03:00:00,$27.79
21-JUN-2024 02:00:00,$24.11
21-JUN-2024 01:00:00,$26.17
21-JUN-2024 00:00:00,$28.50
20-JUN-2024 23:00:00,$38.75
20-JUN-2024 22:00:00,$50.15
20-JUN-2024 21:00:00,$101.27
20-JUN-2024 20:00:00,$71.76
20-JUN-2024 19:00:00,$117.52
20-JUN-2024 18:00:00,$55.32
20-JUN-2024 17:00:00,$63.94
20-JUN-2024 16:00:00,$43.26
20-JUN-2024 15:00:00,$80.08
20-JUN-2024 14:00:00,$66.13
20-JUN-2024 13:00:00,$51.86
20-JUN-2024 12:00:00,$43.25
20-JUN-2024 11:00:00,$46.29
20-JUN-2024 10:00:00,$43.79
20-JUN-2024 09:00:00,$32.53
20-JUN-2024 08:00:00,$32.11
20-JUN-2024 07:00:00,$23.74
20-JUN-2024 06:00:00,$23.24
20-JUN-2024 05:00:00,$19.24
20-JUN-2024 04:00:00,$18.08
20-JUN-2024 03:00:00,$18.81
20-JUN-2024 02:00:00,$18.76
20-JUN-2024 01:00:00,$24.01
20-JUN-2024 00:00:00,$24.34
19-JUN-2024 23:00:00,$30.05
19-JUN-2024 22:00:00,$40.00
19-JUN-2024 21:00:00,$75.91
19-JUN-2024 20:00:00,$73.37
